,road_empty %,average_latency,fps
0,1.0,0.0070085525512695,142.68281398829836
1,1.0,0.006998419761657651,142.8893999012056
2,1.0,0.006912787755330334,144.65943920076484
3,1.0,0.007096409797668401,140.91632649633064
4,1.0,0.0068621158599853,145.7276473326905
5,1.0,0.0069307088851928164,144.28538502554338
6,1.0,0.006789003099713957,147.29703099445237
7,1.0,0.006687641143798775,149.52955436720262
8,1.0,0.006611055798000711,151.26176976186105
9,1.0,0.00654182434082026,152.8625575835338
10,1.0,0.006489081816239736,154.10500719799452
11,1.0,0.0064389308293659915,155.3052869335552
12,1.0,0.006429030345036377,155.54445170290168
13,1.0,0.006434440612792914,155.4136653327418
14,1.0,0.00640511512756342,156.12521868602408
15,1.0,0.006421059370040837,155.73754148198137
16,1.0,0.006442112081191064,155.22859388300378
17,1.0,0.006418214903937394,155.80656225557797
18,1.0,0.00639181388051881,156.45011239263934
19,1.0,0.00633280277252192,157.90796522813054
20,1.0,0.0062816937764485145,159.19273297740577
21,1.0,0.006262042305686205,159.69230982230138
22,1.0,0.006245975909025722,160.10308309946475
23,1.0,0.006227930386861112,160.56698419585285
24,1.0,0.006213903427123971,160.9294402025874
25,1.0,0.006219093616192107,160.79513538699402
26,1.0,0.006220835226553407,160.7501185261324
27,1.0,0.00624668598175044,160.08488387626315
28,1.0,0.006239274452472508,160.27504601976898
29,1.0,0.006229710578918411,160.5211008331655
30,1.0,0.006221694331015262,160.72792181624567
31,1.0,0.00620882958173747,161.0609514780983
32,1.0,0.006197214126586865,161.36282845381578
33,1.0,0.006185082828297286,161.679322292163
34,1.0,0.00617407390049521,161.96761103228647
35,1.0,0.006165842215220087,162.183845303655
36,1.0,0.006156064368583015,162.44144637333886
37,1.0,0.006149222976282978,162.62217256666634
38,1.0,0.006148130465776448,162.65107020199025
39,1.0,0.006141656637191725,162.82251826719678
40,1.0,0.006137341987795897,162.93698509688716
41,1.0,0.006130093619936941,163.12964564647004
42,1.0,0.0061279341231944475,163.18713287320838
43,1.0,0.006124566901813805,163.27685141358285
44,1.0,0.006122620900471956,163.3287469950844
45,1.0,0.00612299856932262,163.31867281664722
46,1.0,0.006122036183133989,163.34434656805323
47,1.0,0.006117517749468437,163.46499363845604
48,1.0,0.006113203204407936,163.5803631194442
49,1.0,0.00610878944396968,163.69855421799724
50,1.0,0.00610901795181569,163.69243107278564
51,1.0,0.006107220282921379,163.74061417048668
52,1.0,0.006106750020440975,163.75322334346822
53,1.0,0.006111476156446622,163.62658945255987
54,1.0,0.006124297055331097,163.28404565704676
55,1.0,0.006147146224975538,162.67711282628215
56,1.0,0.00614160403870695,162.82391272663997
57,1.0,0.006144087890098787,162.75808840747584
58,1.0,0.006139642101223138,162.87594350178495
59,1.0,0.006131780147552442,163.08477732998293
60,1.0,0.006131078376144612,163.10344423109905
61,1.0,0.006129907023522115,163.13461136730604
62,1.0,0.006128901527041434,163.16137493609295
63,1.0,0.006125681102275803,163.2471529783817
64,1.0,0.006126139714167623,163.23493205474063
65,1.0,0.006129026412963821,163.15805033648545
66,1.0,0.006131328753570965,163.09678377914202
67,1.0,0.006127627456889387,163.1952998179882
68,1.0,0.006130059560139928,163.130552026345
69,1.0,0.006149360111781483,162.6185459661262
70,1.0,0.006154503620846124,162.48264061668056
71,1.0,0.00616239839129973,162.27448089234733
72,1.0,0.006148838017084778,162.63235382383832
73,1.0,0.006134932105605618,163.00098889216372
74,1.0,0.006137530008951774,162.93199357746025
75,1.0,0.006135651939793587,162.98186562936644
76,1.0,0.006143337720400276,162.77796297593807
77,1.0,0.006145471181624925,162.7214529928997
78,1.0,0.006141867818711629,162.81691979000755
79,1.0,0.006138461828231762,162.90726048027878
80,1.0,0.006135398958936101,162.9885858593625
81,1.0,0.006131995015027997,163.07906277634737
82,1.0,0.006135311471410495,162.99091002304112
83,1.0,0.006127056621369811,163.21050412888667
84,1.0,0.0061204517588895405,163.38663213014758
85,1.0,0.006118846494097992,163.42949622360393
86,1.0,0.006116579318868653,163.4900731059209
87,1.0,0.006113930182023433,163.56091257637578
88,1.0,0.0061111396618103225,163.63559914187377
89,1.0,0.0061107397079467295,163.64630925116103
90,1.0,0.0061093660501332905,163.68310423602503
91,1.0,0.006116830784341516,163.4833519606103
92,1.0,0.006124029877365229,163.29116938113876
93,1.0,0.00613078665226059,163.1112052531256
94,1.0,0.006137330908524315,162.9372792350289
95,1.0,0.006143540143966626,162.77259960318938
96,1.0,0.0061498179878155725,162.606438431392
97,1.0,0.006156690266667533,162.42493233970592
98,1.0,0.006166277509747081,162.172396298949
99,1.0,0.0061712694168090335,162.04121590871463
100,1.0,0.006177021725342957,161.89031615304518
101,1.0,0.0061829908221375214,161.73402626114364
102,1.0,0.006188251439807435,161.59653655429324
103,1.0,0.006196459898581822,161.3824694046465
104,1.0,0.006202413922264414,161.2275498754385
105,1.0,0.006202598787703554,161.2227445667559
106,1.0,0.006214518413365395,160.913514689944
107,1.0,0.006215296409748169,160.89337242735266
108,1.0,0.006213770000212734,160.93289580492424
109,1.0,0.0062111204320733715,161.00154729509632
110,1.0,0.006216105040129193,160.87244239669675
111,1.0,0.00624305648463108,160.17795169109266
112,1.0,0.006240355230010667,160.24728771703124
113,1.0,0.00623721198031772,160.3280445102109
114,1.0,0.006234015589174967,160.4102501341906
115,1.0,0.0062318444252013674,160.46613679186757
116,1.0,0.006228080162635168,160.5631228061922
117,1.0,0.006225052526441622,160.64121479335085
118,1.0,0.006222454439692087,160.7082879741397
