,road_empty %,average_latency,fps
0,1.0,0.0146100521087646,68.44602555524754
1,1.0,0.01450896263122555,68.92291512611963
2,1.0,0.014612038930257134,68.43671884348056
3,1.0,0.01466953754425045,68.16847477185387
4,1.0,0.014713430404663042,67.96511571380906
5,1.0,0.014722307523091586,67.92413474800225
6,1.0,0.014755691800798646,67.77045857964283
7,1.0,0.014782160520553537,67.64910979078948
8,1.0,0.0147790114084879,67.66352446454428
9,1.0,0.01484327316284174,67.37058524957781
10,1.0,0.014826319434425993,67.44762275106852
11,1.0,0.014816164970397894,67.4938489142069
12,1.0,0.014844014094426023,67.36722248030628
13,1.0,0.014871512140546472,67.24265767658875
14,1.0,0.014853413899739527,67.32458993939004
15,1.0,0.01485720276832575,67.30742089163056
16,1.0,0.014870293000165102,67.24817056320929
17,1.0,0.014863279130723692,67.27990446824839
18,1.0,0.014859688909430202,67.29615983854033
19,1.0,0.014851570129394484,67.33294805111431
20,1.0,0.01483532360621856,67.40668599779161
21,1.0,0.014972936023365318,66.78716842438227
22,1.0,0.014995232872340936,66.68786063633088
23,1.0,0.01498392224311823,66.73820003699478
24,1.0,0.01497117996215815,66.79500229959473
25,1.0,0.014965616739713175,66.81983224562822
26,1.0,0.014954381518893715,66.87003395871481
27,1.0,0.015088481562478148,66.27572137456083
28,1.0,0.01507505055131578,66.33476926634371
29,1.0,0.01506101290384923,66.3965967218861
30,1.0,0.015050741934007163,66.44190727504929
31,1.0,0.015032358467578836,66.52316083046837
32,1.0,0.015023455475315849,66.56258286537613
33,1.0,0.015013274024514536,66.60772316332483
34,1.0,0.014998831067766404,66.67186232592978
35,1.0,0.014981898996565022,66.74721276850653
36,1.0,0.014964219686147272,66.8260705184463
37,1.0,0.01494617211191272,66.90676331787712
38,1.0,0.01493319486960381,66.96490662125343
39,1.0,0.014921885728836006,67.01565862198878
40,1.0,0.01491987414476343,67.02469406224714
41,1.0,0.01491682870047428,67.03837793405813
42,1.0,0.014921981234883103,67.01522969766916
43,1.0,0.01492498679594555,67.00173431789267
44,1.0,0.01492219501071501,67.0142696353949
45,1.0,0.014924080475516887,67.00580324801321
46,1.0,0.014921599246085906,67.0169452689403
47,1.0,0.014919703205426479,67.02546198347214
48,1.0,0.014909934024421482,67.06937793031588
49,1.0,0.01490756511688227,67.08003568386475
50,1.0,0.014902629104315014,67.10225377013865
51,1.0,0.014899638982919496,67.11572012894878
52,1.0,0.014971472182363782,66.7936985634578
53,1.0,0.014968333420930034,66.80770476436024
54,1.0,0.014972409335049664,66.78951781387981
55,1.0,0.014974640948431778,66.77956442786865
56,1.0,0.014973590248509404,66.78425036370608
57,1.0,0.01497292929682233,66.78719842831474
58,1.0,0.014971450223761036,66.79379652967154
59,1.0,0.014970088005065864,66.79987450051068
60,1.0,0.014969747574602916,66.80139361177744
61,1.0,0.014971356238088245,66.79421584104222
62,1.0,0.015002246886964771,66.65668199800692
63,1.0,0.015001785010099355,66.65873423241233
64,1.0,0.014999407988328146,66.66929793350207
65,1.0,0.014994866920239944,66.68948816412691
66,1.0,0.014992297585330739,66.70091720821051
67,1.0,0.01504476280773382,66.46831277964355
68,1.0,0.015041714129240566,66.4817846827733
69,1.0,0.015037822723388621,66.49898847688105
70,1.0,0.015035437865995975,66.50953626442713
71,1.0,0.015091697374979599,66.26159902052447
72,1.0,0.015089364900980855,66.27184156272853
73,1.0,0.015083622288059489,66.2970724738726
74,1.0,0.015083382924397733,66.2981245661062
75,1.0,0.015080775085248393,66.30958915222952
76,1.0,0.015077566171621296,66.32370162514562
77,1.0,0.015071440965701321,66.35065633576377
78,1.0,0.015064360220220974,66.38184332964201
79,1.0,0.01506093442440028,66.39694270097186
80,1.0,0.015055874247609784,66.41925826119041
81,1.0,0.015047367026166169,66.45680923852524
82,1.0,0.01504680334803565,66.45929882047334
83,1.0,0.015041595413571265,66.48230938971746
84,1.0,0.015036226721370874,66.50604693122295
85,1.0,0.0150314375411632,66.52723648430339
86,1.0,0.015026232291912165,66.55028223796644
87,1.0,0.015024130994623307,66.55959005934324
88,1.0,0.015021715271338937,66.57029386703763
89,1.0,0.015019753244188047,66.57898993027425
90,1.0,0.015017168862479025,66.59044785056247
91,1.0,0.015016612799271245,66.59291368613633
92,1.0,0.015016027676161852,66.59550858363917
93,1.0,0.015012809570799436,66.60978381721722
94,1.0,0.015010515012239108,66.61996601613143
95,1.0,0.015034114321072845,66.51539150519372
96,1.0,0.015043332404697013,66.47463295351818
97,1.0,0.015041446199222437,66.48296890838161
98,1.0,0.015036949003585612,66.50285239123619
99,1.0,0.01506021022796626,66.40013551358244
100,1.0,0.015055703644705242,66.42001088748036
101,1.0,0.015051837060965696,66.43707315921755
102,1.0,0.015086333728530984,66.28515701656654
103,1.0,0.015065388037608167,66.37731451082912
104,1.0,0.015043569746471534,66.47358418599747
105,1.0,0.015026238729368913,66.55025372686855
106,1.0,0.0150083693388466,66.62949034787349
107,1.0,0.014991113433131413,66.70618593212228
108,1.0,0.014974747229059851,66.77909047168487
109,1.0,0.014957334778525563,66.85683076611436
110,1.0,0.014941269213014845,66.92871842031553
111,1.0,0.01492331709180554,67.00923084647879
112,1.0,0.014909305403717798,67.07220577496783
113,1.0,0.01489138184932235,67.15293517542203
114,1.0,0.014875094786934178,67.22646237376377
115,1.0,0.014860619758737446,67.29194449727039
116,1.0,0.014845923480824476,67.35855814504471
117,1.0,0.01483573145785569,67.4048329090298
118,1.0,0.014823589004388326,67.46004626166871
119,1.0,0.014811362822850494,67.51573180404657
120,1.0,0.014798974202684083,67.57225104282097
