,road_empty %,average_latency,fps
0,1.0,0.0065410137176513,152.8815017313666
1,1.0,0.006603002548217701,151.44625383643424
2,1.0,0.006677865982055601,149.7484380020722
3,1.0,0.0066563487052917,150.23251399149424
4,1.0,0.006689834594726521,149.48052688601337
5,1.0,0.006661097208658817,150.12541758136953
6,1.0,0.006688390459333115,149.51280223249825
7,1.0,0.0065968334674834875,151.58787999259178
8,1.0,0.006512906816270578,153.54127246251932
9,1.0,0.00654323101043697,152.82969505507617
10,1.0,0.006500287489457518,153.83934966289544
11,1.0,0.006455063819885209,154.91713605052834
12,1.0,0.006521481734055692,153.3393852470553
13,1.0,0.006483060973031135,154.24812510014897
14,1.0,0.006521129608154253,153.34766521885476
15,1.0,0.006594061851501419,151.6515954081182
16,1.0,0.0065971683053408885,151.58018618236966
17,1.0,0.0066099829143947565,151.2863214551236
18,1.0,0.006617295114617554,151.11914803240492
19,1.0,0.006585180759429886,151.85612005684342
20,1.0,0.00655436515808101,152.57007747990357
21,1.0,0.006550312042236281,152.66448278372388
22,1.0,0.006558594496353765,152.47169199985572
23,1.0,0.006568143765131584,152.25001701526645
24,1.0,0.006592922210693313,151.67780963319447
25,1.0,0.006599499629094004,151.52663932148482
26,1.0,0.006592317863746878,151.6917146091056
27,1.0,0.006587471280779112,151.80331835643742
28,1.0,0.006624649310934087,150.9513867171028
29,1.0,0.006614057223002071,151.19312795212065
30,1.0,0.0065901125631024305,151.74247638787364
31,1.0,0.006567314267158463,152.26924726303355
32,1.0,0.006545500321821688,152.77670931680413
33,1.0,0.006503245409797174,153.76937774691612
34,1.0,0.006484494890485446,154.21401618609917
35,1.0,0.006467011239793519,154.6309358249899
36,1.0,0.006449377214586368,155.05373103907291
37,1.0,0.006436071897807829,155.3742742278263
38,1.0,0.00641875389294742,155.79347902694104
39,1.0,0.006386208534240677,156.58743284663197
40,1.0,0.0063539946951516775,157.38130860622772
41,1.0,0.006326164518083798,158.0736632981055
42,1.0,0.006297089332757947,158.80352765489963
43,1.0,0.006280601024627639,159.22043066878103
44,1.0,0.006278430091010154,159.27548535291683
45,1.0,0.006278188332267383,159.28161868932776
46,1.0,0.006276389385791488,159.32727218355885
47,1.0,0.00627921521663661,159.2555702423652
48,1.0,0.006275974974340275,159.33779278734602
49,1.0,0.006279997825622512,159.23572392333972
50,1.0,0.00628152548098092,159.19699809031746
51,1.0,0.0062784781822790995,159.2742653502378
52,1.0,0.006271132883035864,159.46082129835187
53,1.0,0.006256010797288635,159.8462714344102
54,1.0,0.006238655610517974,160.2909444647119
55,1.0,0.006241696221487817,160.21285953606255
56,1.0,0.006244525574801215,160.14026814708552
57,1.0,0.006245576102158074,160.11333200382646
58,1.0,0.006229222831079471,160.53366962740495
59,1.0,0.006253341833750364,159.91449477507012
60,1.0,0.006220770663902364,160.75178688112703
61,1.0,0.006190649924739671,161.5339281266259
62,1.0,0.006162586666288785,162.26952319718322
63,1.0,0.006133675575256302,163.0343808913001
64,1.0,0.0061044913071852,163.81381341684687
65,1.0,0.006077708620013568,164.53569305824465
66,1.0,0.006051120473377695,165.25864993096175
67,1.0,0.00602888710358559,165.868091874745
68,1.0,0.00600277513697523,166.58961516654367
69,1.0,0.005978264127458799,167.27263611637605
70,1.0,0.005953768609275234,167.96084390013476
71,1.0,0.005934533145692567,168.50525145787165
72,1.0,0.005910383511895956,169.19375840624866
73,1.0,0.005902006819441466,169.43389436724416
74,1.0,0.005905968348185175,169.3202437001354
75,1.0,0.005899953214745728,169.492869452033
76,1.0,0.005890527328887498,169.76408802925675
77,1.0,0.005879426613832087,170.08461295313643
78,1.0,0.005873755563663485,170.24882788556081
79,1.0,0.0058590263128280185,170.67682352109506
80,1.0,0.005839492067878584,171.2477709321194
81,1.0,0.0058216990494146135,171.7711601908643
82,1.0,0.005802852561674878,172.32903806733455
83,1.0,0.005787128493899347,172.7972691558821
84,1.0,0.005769440707038386,173.32702609805096
85,1.0,0.0057532316030457515,173.815356133169
86,1.0,0.0057374992589840496,174.29196150816966
87,1.0,0.005722452293742741,174.75025542693604
88,1.0,0.005709273091862666,175.15364634164789
89,1.0,0.005694852934943261,175.5971596499117
90,1.0,0.005679906069577351,176.0592495281196
91,1.0,0.005667909331943633,176.4318978012094
92,1.0,0.005653981239564912,176.86652247840718
93,1.0,0.0056396646702542765,177.31550694394616
94,1.0,0.0056258803919741526,177.74995739806235
95,1.0,0.005615077912807419,178.091918852827
96,1.0,0.00560492092801119,178.41464899217283
97,1.0,0.0056027149667544785,178.48489632862345
98,1.0,0.005598915947808115,178.60600325523438
99,1.0,0.005596475601196244,178.6838845122903
100,1.0,0.0055930543654035365,178.79318430831137
101,1.0,0.005588232302198178,178.94746422882986
102,1.0,0.005587790776224925,178.96160397680342
103,1.0,0.005586580588267355,179.00037137209617
104,1.0,0.005582062403360958,179.14525631205777
105,1.0,0.005581628601506026,179.15917940691747
106,1.0,0.005574928265865672,179.37450534078226
107,1.0,0.0055706677613434515,179.51169282420727
108,1.0,0.005567327551885438,179.61939380795707
109,1.0,0.005564375357194335,179.71469137269332
110,1.0,0.0055620971026720855,179.7883031419193
111,1.0,0.005557700991630508,179.93051470489812
112,1.0,0.005556558085753808,179.96752388206863
113,1.0,0.005555953895836499,179.98709470022357
114,1.0,0.005554902035257044,180.02117654874658
115,1.0,0.0055560346307425195,179.98447930234698
116,1.0,0.005556283852992867,179.9764062560185
117,1.0,0.005561178013429756,179.8180165398568
118,1.0,0.005562016943923519,179.79089421733892
119,1.0,0.005566779772440547,179.63706862461117
120,1.0,0.0055705338470206315,179.51600824305993
121,1.0,0.0055758347276780975,179.34534448018377
122,1.0,0.005587339401245072,178.97606144655575
123,1.0,0.005603638387495426,178.45548389266335
124,1.0,0.005619325637817337,177.9572967386209
125,1.0,0.0056452013197398855,177.14160104498754
126,1.0,0.0056471918511577955,177.07916188379158
127,1.0,0.005653178319334937,176.89164280910992
128,1.0,0.005655187044956841,176.8288107980046
129,1.0,0.005660695296067412,176.65674403897313
130,1.0,0.005665325936470276,176.51235095981784
131,1.0,0.005688378305146141,175.79702796758852
132,1.0,0.005698894199572065,175.472638196212
133,1.0,0.005702431522198531,175.36378930762808
134,1.0,0.005716846607349491,174.92160778188716
135,1.0,0.00572914936963245,174.5459815204913
136,1.0,0.0057316383306126924,174.47018501830408
137,1.0,0.0057421404382456435,174.15108716942547
138,1.0,0.0057575548295494,173.6848418477436
139,1.0,0.005766621657780192,173.4117581046475
140,1.0,0.0057789958115164655,173.04044380983729
141,1.0,0.005778072585522243,173.0680923783543
142,1.0,0.005788249569339306,172.76380156395777
143,1.0,0.00579787459638379,172.47699710920153
144,1.0,0.005805036939423614,172.2641923617614
145,1.0,0.005813043411463862,172.026927930369
146,1.0,0.005820323009880176,171.8117702922105
147,1.0,0.005828164719246484,171.58060009829111
148,1.0,0.0058372436753855,171.3137322357814
149,1.0,0.00584501425425207,171.08598140244575
150,1.0,0.005853354536144893,170.84220575140745
151,1.0,0.005864883724011827,170.5063641595878
152,1.0,0.005862706626941909,170.56968114429046
153,1.0,0.005859949372031426,170.64993850848532
154,1.0,0.005856126354586648,170.76134281439775
155,1.0,0.005860693943806138,170.62825828959177
