empty_road_detection_result,latency_stage1,latency_stage2,latency_whole
0,0.01949000358581543,0.03024888038635254,0.049745798110961914
0,0.015108108520507812,0.0005872249603271484,0.015700578689575195
0,0.01422882080078125,0.0005950927734375,0.014829635620117188
0,0.014118194580078125,0.0006029605865478516,0.01472616195678711
0,0.01397252082824707,0.0005776882171630859,0.014555931091308594
0,0.014301538467407227,0.0006024837493896484,0.014909505844116211
0,0.014205217361450195,0.0005981922149658203,0.01480865478515625
0,0.014328479766845703,0.0005972385406494141,0.014931440353393555
0,0.014139652252197266,0.0005881786346435547,0.014734983444213867
0,0.014133930206298828,0.0005991458892822266,0.014738082885742188
0,0.013997077941894531,0.0005834102630615234,0.014592409133911133
0,0.014012813568115234,0.0006020069122314453,0.014620542526245117
0,0.013987302780151367,0.0005853176116943359,0.014578819274902344
0,0.014015913009643555,0.0006210803985595703,0.014642953872680664
0,0.014011859893798828,0.0005815029144287109,0.014599084854125977
0,0.014033794403076172,0.0005908012390136719,0.014630556106567383
0,0.013846874237060547,0.0005962848663330078,0.014448881149291992
0,0.017639875411987305,0.0009534358978271484,0.0186007022857666
0,0.01935267448425293,0.0006628036499023438,0.02002096176147461
0,0.014021873474121094,0.0005970001220703125,0.014624357223510742
0,0.013909339904785156,0.0005943775177001953,0.014509439468383789
0,0.01404571533203125,0.0005986690521240234,0.014649629592895508
0,0.014020919799804688,0.0005872249603271484,0.014613866806030273
0,0.014099597930908203,0.0005986690521240234,0.014704465866088867
0,0.014076948165893555,0.0005788803100585938,0.01467275619506836
0,0.01416015625,0.0005953311920166016,0.014761209487915039
0,0.014014244079589844,0.0005807876586914062,0.014600515365600586
0,0.013989448547363281,0.0005977153778076172,0.014592647552490234
0,0.013976812362670898,0.0005779266357421875,0.01455998420715332
0,0.014065742492675781,0.0006036758422851562,0.014674901962280273
0,0.013986587524414062,0.0005743503570556641,0.01456594467163086
0,0.014011859893798828,0.0005967617034912109,0.014614343643188477
0,0.013967752456665039,0.0005896091461181641,0.014564752578735352
0,0.013958215713500977,0.0006053447723388672,0.014569520950317383
0,0.013937950134277344,0.0005741119384765625,0.01451730728149414
0,0.013943195343017578,0.0006122589111328125,0.014561176300048828
0,0.013947248458862305,0.0005757808685302734,0.01452779769897461
0,0.014014959335327148,0.0006046295166015625,0.014625072479248047
0,0.013978242874145508,0.0005693435668945312,0.014552593231201172
0,0.014139413833618164,0.0006005764007568359,0.014744758605957031
0,0.014007329940795898,0.0005726814270019531,0.014585494995117188
0,0.014057636260986328,0.0005974769592285156,0.014660120010375977
0,0.013991117477416992,0.0005779266357421875,0.014574289321899414
0,0.014046192169189453,0.0005962848663330078,0.014646768569946289
0,0.014060258865356445,0.0005750656127929688,0.014640331268310547
0,0.01407003402709961,0.0005962848663330078,0.01467132568359375
0,0.014046430587768555,0.0005788803100585938,0.014630794525146484
0,0.014312267303466797,0.0005905628204345703,0.014908075332641602
0,0.01930689811706543,0.0005655288696289062,0.019877910614013672
0,0.014357566833496094,0.0006008148193359375,0.014963150024414062
0,0.014015674591064453,0.0005686283111572266,0.014589548110961914
0,0.021517276763916016,0.0007574558258056641,0.02228093147277832
0,0.013323545455932617,0.0005645751953125,0.013905048370361328
0,0.011747360229492188,0.0007712841033935547,0.012523412704467773
