,empty_road_detection_result,latency_stage1,latency_stage2,latency_whole
18071,1,0.015336751937866211,0.03489913558959961,0.05033993721008301
18072,1,0.015047550201416016,0.03404057693481445,0.04919290542602539
18073,1,0.014879941940307617,0.034552383422851565,0.04953336715698242
18074,1,0.014434099197387695,0.032982944488525394,0.04751920700073242
18075,1,0.016608476638793945,0.031917951583862306,0.04863905906677246
18076,1,0.017430782318115234,0.04341702270507813,0.060971975326538086
18077,1,0.014302492141723633,0.031212255477905272,0.04562067985534668
18078,1,0.016492128372192383,0.037242912292480466,0.053850650787353516
18079,1,0.014617919921875,0.03306230545043945,0.04778742790222168
18080,1,0.014696121215820312,0.03181324768066406,0.04661250114440918
18081,1,0.015257120132446289,0.03163526344299317,0.04699230194091797
18082,1,0.018179893493652344,0.032255809783935545,0.05053567886352539
18083,1,0.01684427261352539,0.04659606552124024,0.06357049942016602
18084,1,0.01228475570678711,0.04410940933227539,0.056516408920288086
18085,1,0.014329195022583008,0.03834640121459961,0.052799224853515625
18086,1,0.014924764633178711,0.043257152557373044,0.05829286575317383
18087,1,0.014861345291137695,0.04224953460693359,0.057218313217163086
18088,1,0.014967203140258789,0.04497695922851563,0.060060977935791016
18089,1,0.014612436294555664,0.03400105667114258,0.0487210750579834
18090,1,0.014574766159057617,0.03406143951416016,0.04873824119567871
18091,1,0.014121770858764648,0.03406963348388672,0.04829668998718262
18092,1,0.014940500259399414,0.03518300628662109,0.0502316951751709
18093,1,0.015041351318359375,0.03286140823364258,0.04800057411193848
18094,1,0.014850139617919922,0.03417673492431641,0.04913783073425293
18095,1,0.018355607986450195,0.054661056518554685,0.07314825057983398
18096,1,0.013226747512817383,0.045957569122314454,0.059300899505615234
18097,1,0.013015508651733398,0.04550831985473633,0.058641672134399414
18098,1,0.015566110610961914,0.0361399040222168,0.05181097984313965
18099,1,0.015047311782836914,0.0324815673828125,0.04763031005859375
18100,1,0.014797210693359375,0.03214236831665039,0.04704451560974121
18101,0,0.014717817306518555,0.0012028160095214843,0.01602959632873535
18102,1,0.014780998229980469,0.03218451309204102,0.04707074165344238
18103,1,0.014963388442993164,0.03189715194702149,0.046961307525634766
18104,1,0.019842863082885742,0.05047878265380859,0.0704660415649414
18105,1,0.014531373977661133,0.03271772766113281,0.04735255241394043
18106,1,0.014359474182128906,0.03480137634277344,0.04935312271118164
18107,1,0.021745681762695312,0.04702320098876953,0.06889629364013672
18108,1,0.012808799743652344,0.045360321044921874,0.05828690528869629
18109,1,0.012674331665039062,0.045925151824951174,0.05872631072998047
18110,1,0.01251673698425293,0.043120254516601564,0.05575251579284668
18111,1,0.012781858444213867,0.04683731079101563,0.0597386360168457
18112,1,0.012756586074829102,0.04575801467895508,0.05862307548522949
18113,1,0.01483607292175293,0.03333369445800781,0.04827523231506348
18114,1,0.01493978500366211,0.05631878280639648,0.07136154174804688
18115,1,0.012889623641967773,0.04721398544311523,0.06022167205810547
18116,1,0.012847900390625,0.04590633773803711,0.05885601043701172
18117,1,0.01333761215209961,0.04438393783569336,0.057831525802612305
18118,1,0.012613296508789062,0.044674785614013675,0.057404518127441406
18119,1,0.013074159622192383,0.0448770866394043,0.05807089805603027
18120,1,0.014519929885864258,0.032999774932861325,0.04763293266296387
18121,1,0.017702817916870117,0.049744384765625,0.06756973266601562
18122,1,0.012463092803955078,0.047174144744873046,0.059748172760009766
18123,1,0.012665033340454102,0.046951297760009766,0.05973243713378906
18124,1,0.014397382736206055,0.035162174224853515,0.04966402053833008
18125,1,0.015288829803466797,0.035016735076904296,0.05041384696960449
18126,1,0.014946460723876953,0.049503231048583986,0.06458139419555664
18127,1,0.013578176498413086,0.043210529327392576,0.05688595771789551
18128,1,0.013142824172973633,0.045340606689453125,0.058606863021850586
18129,1,0.015118837356567383,0.03453878402709961,0.04976654052734375
18130,1,0.013953208923339844,0.0337334098815918,0.04779243469238281
18131,1,0.015316486358642578,0.05181232070922852,0.06725788116455078
18132,1,0.012578010559082031,0.04679663848876953,0.05947279930114746
18133,1,0.01318812370300293,0.047905502319335935,0.06121492385864258
18134,1,0.01415395736694336,0.04466611099243164,0.05893874168395996
18135,1,0.013190984725952148,0.046940479278564456,0.060257911682128906
18136,1,0.014772891998291016,0.03603551864624024,0.05091428756713867
18137,1,0.01904153823852539,0.05704662322998047,0.07621622085571289
18138,1,0.01285862922668457,0.04745203018188476,0.06041526794433594
18139,1,0.012686014175415039,0.045133182525634766,0.05793023109436035
18140,1,0.01210331916809082,0.045599937438964844,0.057813167572021484
18141,1,0.013968467712402344,0.03525680160522461,0.04933667182922363
18142,1,0.015900850296020508,0.05378742218017578,0.06982254981994629
18143,1,0.013900041580200195,0.03505587387084961,0.049057722091674805
18144,1,0.014811277389526367,0.02710758399963379,0.04203152656555176
18145,1,0.014673471450805664,0.05104019165039062,0.06585073471069336
18146,1,0.01482081413269043,0.03395110321044922,0.04887580871582031
18147,1,0.014093399047851562,0.06006220626831055,0.07427287101745605
18148,1,0.01205134391784668,0.047847679138183594,0.06001639366149902
18149,1,0.012409687042236328,0.0495560302734375,0.062082767486572266
18150,1,0.012373924255371094,0.04923980712890625,0.0617372989654541
18151,1,0.012810945510864258,0.049938720703125,0.06287527084350586
18152,1,0.01219630241394043,0.05239139175415039,0.06470370292663574
18153,1,0.012055397033691406,0.05045270538330078,0.06261992454528809
18154,0,0.014415740966796875,0.0018558399677276612,0.016404390335083008
18155,1,0.014100313186645508,0.050862014770507814,0.0650780200958252
18156,1,0.014723777770996094,0.03694668960571289,0.051775455474853516
18157,1,0.01578807830810547,0.0367347526550293,0.052629709243774414
18158,1,0.014434814453125,0.037350910186767575,0.051892757415771484
18159,1,0.01617884635925293,0.03524611282348633,0.05153059959411621
18160,1,0.014505863189697266,0.035518142700195314,0.05012869834899902
18161,1,0.014952898025512695,0.03500707244873047,0.05007219314575195
18162,1,0.014565467834472656,0.055714591979980466,0.07039403915405273
18163,1,0.014563322067260742,0.04861775970458984,0.06329894065856934
18164,1,0.015275239944458008,0.035565055847167966,0.05094742774963379
18165,1,0.014440059661865234,0.03672051239013672,0.051271915435791016
18166,1,0.014404773712158203,0.037331840515136716,0.051846981048583984
18167,1,0.015188932418823242,0.06485539245605469,0.08014893531799316
18168,1,0.01264047622680664,0.051611263275146486,0.06437349319458008
18169,1,0.013854742050170898,0.03519641494750977,0.04915571212768555
